# Spatially averaged filter profile
# Averaging performed using nearest-neighbour technique to find area of Voronoi elements, weights proportional to areas
# wavelength	Transmission
2996.760	0.000
3026.850	0.000
3056.950	0.000
3087.040	0.000
3117.120	0.000
3147.210	0.000
3177.290	0.000
3207.370	0.000
3237.440	0.000
3267.520	0.000
3297.020	0.000
3327.090	0.000
3357.150	-0.000
3387.210	-0.000
3417.270	-0.000
3447.330	0.000
3477.380	-0.000
3507.430	0.000
3537.480	-0.000
3567.520	-0.000
3597.560	0.000
3627.600	0.000
3657.630	0.000
3687.670	0.000
3717.690	0.000
3747.720	0.000
3777.740	0.000
3808.320	0.000
3838.340	0.000
3868.350	0.000
3898.360	0.000
3928.370	0.000
3958.370	0.000
3988.370	0.000
4018.360	0.000
4048.360	0.000
4078.340	0.000
4108.330	0.000
4138.310	0.000
4168.850	0.000
4198.830	0.000
4228.800	0.000
4258.760	0.000
4288.730	0.000
4318.690	0.000
4348.640	0.000
4379.160	0.000
4409.110	0.000
4439.050	0.000
4468.990	0.000
4498.930	0.000
4528.860	0.000
4559.360	0.000
4589.280	0.000
4619.200	0.000
4649.120	0.000
4679.600	0.000
4709.510	0.000
4739.410	0.000
4769.320	0.000
4799.780	0.000
4829.670	0.000
4859.560	0.000
4889.440	0.000
4919.890	0.000
4949.760	0.000
4979.630	0.000
5010.070	0.000
5039.930	0.000
5069.790	0.000
5100.210	0.000
5130.050	0.000
5159.900	0.000
5190.300	0.000
5220.140	0.000
5249.970	0.000
5280.360	0.001
5310.190	0.001
5340.570	0.003
5370.380	0.005
5400.190	0.009
5430.560	0.017
5460.360	0.030
5490.720	0.054
5520.510	0.101
5550.850	0.178
5580.630	0.280
5610.970	0.384
5640.740	0.473
5671.070	0.550
5700.830	0.615
5731.150	0.667
5760.900	0.699
5791.210	0.712
5820.950	0.713
5851.250	0.710
5880.980	0.707
5911.270	0.705
5940.990	0.706
5971.270	0.710
6001.540	0.718
6031.240	0.728
6061.500	0.733
6091.200	0.732
6121.450	0.724
6151.690	0.714
6181.380	0.707
6211.610	0.702
6241.840	0.699
6271.500	0.695
6301.720	0.692
6331.930	0.691
6361.580	0.693
6391.780	0.696
6421.970	0.697
6452.160	0.694
6481.780	0.686
6511.960	0.678
6542.130	0.673
6572.300	0.672
6601.900	0.674
6632.060	0.675
6662.210	0.674
6692.350	0.671
6722.490	0.668
6752.620	0.669
6782.180	0.674
6812.300	0.678
6842.410	0.677
6872.520	0.660
6902.620	0.611
6932.720	0.516
6962.800	0.384
6992.890	0.255
7022.960	0.165
7053.030	0.112
7083.100	0.087
7113.150	0.081
7143.200	0.084
7173.250	0.068
7203.290	0.031
7233.320	0.009
7263.340	0.003
7293.360	0.001
7323.370	0.000
7353.380	0.000
7383.380	0.000
7413.370	0.000
7443.360	0.000
7473.340	0.000
7503.310	0.000
7533.280	0.000
7563.790	0.000
7593.740	0.000
7623.690	0.000
7653.630	0.000
7683.560	0.000
7714.040	0.000
7743.960	0.000
7773.870	0.000
7803.770	0.000
7834.230	0.000
7864.120	0.000
7894.000	0.000
7923.880	0.000
7954.300	0.000
7984.160	0.000
8014.020	0.000
8044.420	0.000
8074.260	0.000
8104.640	0.000
8134.470	0.000
8164.290	0.000
8194.650	0.000
8224.460	0.000
8254.810	0.000
8284.600	0.000
8314.930	0.000
8344.700	0.000
8375.020	0.000
8404.780	0.000
8435.080	0.000
8464.830	0.000
8495.120	0.000
8524.850	0.000
8555.120	0.000
8584.830	0.000
8615.090	0.000
8645.340	0.000
8675.030	0.000
8705.260	0.000
8735.480	0.000
8765.150	0.000
8795.360	0.000
8825.560	0.000
8855.750	0.000
8885.390	0.000
8915.570	0.000
8945.730	0.000
8975.890	0.000
9005.500	0.000
9035.640	0.000
9065.770	0.000
9095.900	0.000
9126.020	0.000
9156.130	0.000
9186.230	0.000
9215.780	0.000
9245.860	0.000
9275.940	0.000
9306.010	0.000
9336.060	0.000
9366.110	0.000
9396.150	0.000
9426.190	0.000
9456.210	0.000
9486.230	0.000
9516.240	0.000
9546.780	0.000
9576.770	0.000
9606.750	0.000
9636.720	0.000
9666.680	0.000
9696.630	0.000
9726.580	0.000
9757.060	0.000
9786.990	0.000
9816.900	0.000
9846.810	0.000
9877.250	0.000
9907.140	0.000
9937.020	0.000
9966.900	0.000
9997.300	0.000
10027.160	0.000
10057.000	0.000
10087.380	0.000
10117.200	0.000
10147.560	0.000
10177.370	0.000
10207.700	0.000
10237.490	0.000
10267.810	0.000
10297.580	0.000
10327.880	0.000
10357.630	0.000
10387.910	0.000
10417.640	0.000
10447.900	0.000
10478.150	0.000
10507.850	0.000
10538.080	0.000
10567.760	0.000
10597.970	0.000
10628.170	0.000
10658.360	0.000
10688.000	0.000
10718.170	0.000
10748.330	0.000
10778.480	0.000
10808.620	0.000
10838.210	0.000
10868.330	0.000
10898.440	0.000
10928.540	0.000
10958.620	0.000
10988.700	0.000
11018.770	0.000
11048.830	0.000
11078.870	0.000
11108.900	0.000
11138.930	0.000
11168.940	0.000
11198.950	0.000
11228.940	0.000
11258.920	0.000
11288.890	0.000
11319.380	0.000
11349.330	0.000
11379.270	0.000
11409.200	0.000
11439.110	0.000
11469.560	0.000
11499.450	0.000
11529.330	0.000
11559.740	0.000
11589.600	0.000
11619.450	0.000
11649.820	0.000
11679.650	0.000
11709.460	0.000
11739.800	0.000
11769.590	0.000
11799.910	0.000
11829.680	0.000
11859.970	0.000
11889.720	0.000
11919.980	0.000
11950.240	0.000
11979.950	0.000
12010.190	0.000
