# Spatially averaged filter profile
# Averaging performed using nearest-neighbour technique to find area of Voronoi elements, weights proportional to areas
# wavelength	Transmission
2996.450	0.000
3026.540	0.000
3056.620	-0.000
3086.710	0.000
3116.790	0.000
3146.870	0.000
3176.940	0.002
3207.020	0.028
3237.090	0.160
3267.160	0.255
3296.650	0.293
3326.720	0.304
3356.780	0.327
3386.830	0.345
3416.890	0.359
3446.940	0.364
3476.990	0.360
3507.030	0.366
3537.070	0.388
3567.110	0.412
3597.150	0.437
3627.180	0.448
3657.210	0.452
3687.240	0.452
3717.260	0.441
3747.280	0.448
3777.300	0.435
3807.880	0.288
3837.890	0.117
3867.890	0.043
3897.900	0.019
3927.900	0.009
3957.900	0.005
3987.890	0.003
4017.880	0.002
4047.870	0.001
4077.850	0.001
4107.830	0.001
4137.810	0.000
4168.340	0.000
4198.310	0.000
4228.280	0.000
4258.240	0.000
4288.200	0.000
4318.150	0.000
4348.100	0.000
4378.620	0.000
4408.560	0.000
4438.500	0.000
4468.440	0.000
4498.370	0.000
4528.300	0.000
4558.780	0.000
4588.700	0.000
4618.620	0.000
4648.530	0.000
4679.010	0.001
4708.910	0.001
4738.810	0.000
4768.710	0.000
4799.160	0.000
4829.050	0.000
4858.940	0.000
4888.820	0.000
4919.250	0.000
4949.130	0.000
4978.990	0.000
5009.420	0.000
5039.280	0.000
5069.130	0.000
5099.540	0.000
5129.390	0.000
5159.230	0.000
5189.630	0.000
5219.460	0.000
5249.290	0.000
5279.670	0.000
5309.490	0.000
5339.870	0.000
5369.680	0.000
5399.480	0.000
5429.840	0.000
5459.640	0.000
5489.990	0.000
5519.770	0.000
5550.120	0.000
5579.890	0.000
5610.230	0.000
5639.990	0.000
5670.320	0.000
5700.070	0.000
5730.380	-0.000
5760.130	0.000
5790.430	0.000
5820.170	-0.000
5850.460	0.000
5880.190	0.000
5910.470	0.000
5940.190	0.000
5970.460	0.000
6000.730	0.000
6030.430	0.000
6060.680	0.000
6090.380	0.000
6120.620	0.000
6150.860	0.000
6180.530	0.000
6210.760	0.000
6240.990	0.000
6270.640	0.000
6300.860	0.000
6331.060	0.000
6360.710	0.000
6390.900	0.000
6421.090	0.000
6451.280	0.000
6480.900	0.000
6511.070	0.000
6541.230	0.000
6571.390	0.000
6600.990	0.000
6631.140	0.000
6661.290	0.000
6691.420	0.000
6721.550	0.000
6751.680	0.000
6781.240	0.000
6811.360	0.000
6841.460	0.000
6871.570	0.000
6901.660	0.000
6931.750	0.000
6961.830	0.000
6991.910	0.000
7021.980	0.000
7052.050	0.000
7082.110	0.000
7112.160	0.000
7142.200	0.000
7172.240	0.000
7202.280	0.000
7232.300	0.000
7262.320	0.000
7292.340	0.000
7322.340	0.000
7352.350	0.000
7382.340	0.000
7412.330	0.000
7442.310	0.000
7472.280	0.000
7502.250	0.000
7532.210	0.000
7562.720	0.000
7592.670	0.000
7622.610	0.000
7652.540	0.000
7682.470	0.000
7712.940	0.000
7742.860	0.000
7772.770	0.000
7802.660	0.000
7833.110	0.000
7863.000	0.000
7892.880	0.000
7922.750	0.000
7953.160	0.000
7983.020	0.000
8012.870	0.000
8043.270	0.000
8073.100	0.000
8103.480	0.000
8133.310	0.000
8163.120	0.000
8193.480	0.000
8223.280	0.000
8253.620	0.000
8283.410	0.000
8313.740	0.000
8343.510	0.000
8373.820	0.000
8403.570	0.000
8433.870	0.000
8463.610	0.000
8493.890	0.000
8523.620	0.000
8553.890	0.000
8583.590	0.000
8613.850	0.000
8644.090	0.000
8673.780	0.000
8704.000	0.000
8734.220	0.000
8763.890	0.000
8794.090	0.000
8824.280	0.000
8854.470	0.000
8884.100	0.000
8914.270	0.000
8944.440	0.000
8974.590	0.000
9004.190	0.000
9034.330	0.000
9064.460	0.000
9094.580	0.000
9124.690	0.000
9154.800	0.000
9184.890	0.000
9214.430	0.000
9244.510	0.000
9274.580	0.000
9304.650	0.000
9334.700	0.000
9364.750	0.000
9394.780	0.000
9424.810	0.000
9454.830	0.000
9484.840	0.000
9514.840	0.000
9545.380	0.000
9575.370	0.000
9605.340	0.000
9635.310	0.000
9665.260	0.000
9695.210	0.000
9725.150	0.000
9755.630	0.000
9785.550	0.000
9815.460	0.000
9845.370	0.000
9875.800	0.000
9905.690	0.000
9935.560	0.000
9965.430	0.000
9995.830	0.000
10025.680	0.000
10055.520	0.000
10085.890	0.000
10115.710	0.000
10146.060	0.000
10175.870	0.000
10206.200	0.000
10235.980	0.000
10266.290	0.000
10296.060	0.000
10326.350	0.000
10356.100	0.000
10386.370	0.000
10416.100	0.000
10446.350	0.000
10476.600	0.000
10506.290	0.000
10536.520	0.000
10566.200	0.000
10596.400	0.000
10626.600	0.000
10656.780	0.000
10686.420	0.000
10716.580	0.000
10746.740	0.000
10776.880	0.000
10807.020	0.000
10836.600	0.000
10866.720	0.000
10896.820	0.000
10926.910	0.000
10956.990	0.000
10987.070	0.000
11017.130	0.000
11047.180	0.000
11077.220	0.000
11107.250	0.000
11137.270	0.000
11167.280	0.000
11197.280	0.000
11227.260	0.000
11257.240	0.000
11287.200	0.000
11317.700	0.000
11347.640	0.000
11377.570	0.000
11407.490	0.000
11437.410	0.000
11467.840	0.000
11497.730	0.000
11527.610	0.000
11558.010	0.000
11587.860	0.000
11617.710	0.000
11648.070	0.000
11677.900	0.000
11707.710	0.000
11738.040	0.000
11767.830	0.000
11798.140	0.000
11827.900	0.000
11858.190	0.000
11887.930	0.000
11918.200	0.000
11948.450	0.000
11978.150	0.000
12008.380	0.000
